date_week,date,rain,Tair,rh,Mean_EVI,lncase_0,lncase_1,lncase_2,lncase_3,lncase_4
201301,2012/12/30,0.19527268,0.643832951,0.491234062,0.222167478,3.496507561,4.382026635,4.682131227,4.691347882,5.023880521
201302,2013/1/6,0.000440512,0.679940792,0.452052074,0.581625065,4.382026635,4.682131227,4.691347882,5.023880521,4.983606622
201303,2013/1/13,0.006072773,0.757156826,0.528279037,0.708617813,4.682131227,4.691347882,5.023880521,4.983606622,4.787491743
201304,2013/1/20,0.006922332,0.628924658,0.613446794,0.683475774,4.691347882,5.023880521,4.983606622,4.787491743,5.411646052
201305,2013/1/27,0.056070885,0.649667244,0.416351705,0.722144688,5.023880521,4.983606622,4.787491743,5.411646052,5.777652323
201306,2013/2/3,0.00874731,0.804629212,0.381306715,0.695396492,4.983606622,4.787491743,5.411646052,5.777652323,5.846438775
201307,2013/2/10,0.079795603,0.669718651,0.622182042,0.627712986,4.787491743,5.411646052,5.777652323,5.846438775,5.981414211
201308,2013/2/17,0.287906057,0.711959087,0.486815256,0.330539236,5.411646052,5.777652323,5.846438775,5.981414211,5.924255797
201309,2013/2/24,0.008180937,0.804695921,0.434875212,0.837146582,5.777652323,5.846438775,5.981414211,5.924255797,5.843544417
201310,2013/3/3,0.055095465,0.862577297,0.497935885,0.647199419,5.846438775,5.981414211,5.924255797,5.843544417,6.144185634
201311,2013/3/10,0.074226272,0.800791586,0.597515436,0.726279448,5.981414211,5.924255797,5.843544417,6.144185634,6.352629396
201312,2013/3/17,0.07152027,0.726170301,0.610609948,0.742100085,5.924255797,5.843544417,6.144185634,6.352629396,6.523562306
201313,2013/3/24,0.01755755,0.685025556,0.628570654,0.818418158,5.843544417,6.144185634,6.352629396,6.523562306,6.467698726
201314,2013/3/31,0.022686368,0.667758206,0.623496877,0.585643043,6.144185634,6.352629396,6.523562306,6.467698726,6.359573869
201315,2013/4/7,0.088070937,0.728091736,0.650183859,0.746419977,6.352629396,6.523562306,6.467698726,6.359573869,6.242223265
201316,2013/4/14,0.340767502,0.617345564,0.723165742,0.839497364,6.523562306,6.467698726,6.359573869,6.242223265,6.21860012
201317,2013/4/21,0.242281603,0.556991055,0.651524794,0.646565779,6.467698726,6.359573869,6.242223265,6.21860012,6.599870499
201318,2013/4/28,0.22009868,0.67217736,0.521579253,0.54602764,6.359573869,6.242223265,6.21860012,6.599870499,6.29156914
201319,2013/5/5,0.122210617,0.611747783,0.632862218,0.805052138,6.242223265,6.21860012,6.599870499,6.29156914,6.447305863
201320,2013/5/12,0.190804627,0.609029615,0.620310116,0.900019391,6.21860012,6.599870499,6.29156914,6.447305863,6.527957918
201321,2013/5/19,0.232212762,0.64907834,0.491694499,0.729973679,6.599870499,6.29156914,6.447305863,6.527957918,6.448889394
201322,2013/5/26,0.003461166,0.552353582,0.521601276,0.955900265,6.29156914,6.447305863,6.527957918,6.448889394,6.643789733
201323,2013/6/2,0.122367944,0.405780008,0.634294099,0.750717161,6.447305863,6.527957918,6.448889394,6.643789733,6.395261598
201324,2013/6/9,0.29775465,0.377730297,0.669387621,0.716278599,6.527957918,6.448889394,6.643789733,6.395261598,6.388561406
201325,2013/6/16,0.041030547,0.329858643,0.706354701,0.781766715,6.448889394,6.643789733,6.395261598,6.388561406,6.517671273
201326,2013/6/23,0.242816514,0.413688985,0.444377176,0.815936843,6.643789733,6.395261598,6.388561406,6.517671273,6.216606101
201327,2013/6/30,0.168779027,0.353898631,0.468412466,0.876326989,6.395261598,6.388561406,6.517671273,6.216606101,6.405228458
201328,2013/7/7,0.149679684,0.269662137,0.475382231,0.882615649,6.388561406,6.517671273,6.216606101,6.405228458,6.561030666
201329,2013/7/14,0.029199653,0.287509047,0.605976217,0.842922896,6.517671273,6.216606101,6.405228458,6.561030666,6.234410726
201330,2013/7/21,0.117742566,0.292436792,0.558957015,0.784980465,6.216606101,6.405228458,6.561030666,6.234410726,6.23636959
201331,2013/7/28,0,0.318216774,0.237636976,0.983129997,6.405228458,6.561030666,6.234410726,6.23636959,6.139884552
201332,2013/8/4,0.002643072,0.3133995,0.382839737,0.882905793,6.561030666,6.234410726,6.23636959,6.139884552,5.673323267
201333,2013/8/11,0.016613596,0.412387104,0.513212273,0.872858552,6.234410726,6.23636959,6.139884552,5.673323267,5.541263545
201334,2013/8/18,0,0.412658691,0.39154032,0.850624446,6.23636959,6.139884552,5.673323267,5.541263545,5.438079309
201335,2013/8/25,0.159213624,0.534458976,0.429296137,0.636984421,6.139884552,5.673323267,5.541263545,5.438079309,5.043425117
201336,2013/9/1,0.001950839,0.391620424,0.432982079,0.821589731,5.673323267,5.541263545,5.438079309,5.043425117,4.976733742
201337,2013/9/8,0.011547708,0.437835018,0.280182723,0.813157443,5.541263545,5.438079309,5.043425117,4.976733742,4.990432587
201338,2013/9/15,0.00324091,0.432420481,0.337039938,0.790348867,5.438079309,5.043425117,4.976733742,4.990432587,4.727387819
201339,2013/9/22,0.000597838,0.423591679,0.52642791,0.793790684,5.043425117,4.976733742,4.990432587,4.727387819,4.394449155
201340,2013/9/29,0,0.513002264,0.253298353,0.779567799,4.976733742,4.990432587,4.727387819,4.394449155,4.762173935
201341,2013/10/6,0,0.542979148,0.329823437,0.776332902,4.990432587,4.727387819,4.394449155,4.762173935,4.304065093
